Feb 15 10:25:51 dnsmasq[416]: query[A] pull-flv-f77-tt02.fcdn.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:51 dnsmasq[416]: query[A] pull-f5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:52 dnsmasq[416]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:52 dnsmasq[416]: query[A] libra16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:52 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:53 dnsmasq[416]: query[A] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:53 dnsmasq[416]: query[A] p16-sign-va.tiktokcdn.com from 10.1.1.92
Feb 15 10:25:53 dnsmasq[416]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:55 dnsmasq[416]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:57 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:10 dnsmasq[416]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:11 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:12 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:26:12 dnsmasq[416]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:13 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:17 dnsmasq[416]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:27 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:26:29 dnsmasq[416]: query[A] pitaya.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:31 dnsmasq[416]: query[A] jsb16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:34 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:42 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:42 dnsmasq[416]: query[A] bsync.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:55 dnsmasq[416]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:26:56 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:26:59 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:27:12 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:27:14 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:27:27 dnsmasq[416]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:27:34 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:27:38 dnsmasq[416]: query[A] pitaya.us.tiktokv.com from 10.1.1.92
Feb 15 10:27:39 dnsmasq[416]: query[A] device-metrics-us-2.amazon.com from 10.1.1.92
Feb 15 10:28:20 dnsmasq[416]: query[A] infinitedata-pa.googleapis.com from 10.1.1.92
Feb 15 10:28:32 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:28:56 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:29:14 dnsmasq[416]: query[A] graph.facebook.com from 10.1.1.92
Feb 15 10:29:27 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:29:52 dnsmasq[416]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:29:52 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:29:53 dnsmasq[416]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:30:03 dnsmasq[416]: query[A] geller-pa.googleapis.com from 10.1.1.92
Feb 15 10:30:15 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
